"player_id","full_name","team","positions","current_price","breakeven","current_season_average","average_3_round","average_5_round","total_points","games_played","ownership_percentage","played_status","status","injury_detail","expected_return","role_tag","goal_kicking_status","starting_status","locked_flag","active_flag"
27,"Te Kura, Benjamin","BRO",NA,235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
59,"Todd, Jack","BUL","2RF/FRF",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
173,"Toelau, Trent","MEL","HFB",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
419,"Tsougranis, Nick","STG","2RF/CTW",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
478,"Tupou, Junior","SYD","CTW",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
479,"Va'a, De La Salle","SYD",NA,235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
175,"Vaalepu, Lazarus","MEL","FRF",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
391,"Vea'ila, Chris","SHA",NA,235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
332,"Volkman, Ronald","PAR","HFB",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
240,"Votano, Connor","NEW","FLB",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
95,"Waitere, Manaia","MEL","CTW",235600,NA,22.6,NA,NA,113,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
205,"Walsh, Joey","MNL","HFB",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
336,"Ale, Tom","PTH","FRF",216800,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
362,"Berrell, Jayden","SHA","HOK",216800,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
184,"Feledy, Josh","MNL","CTW",216800,NA,3,NA,NA,15,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
375,"Ison, Liam","SHA","FLB",216800,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
225,"Kepaoa, Asu","NEW","CTW",216800,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
47,"Maiu'u, Zyon","BUL",NA,216800,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
508,"Miller, Jordan","WST","FRF",216800,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
15,"Mozer, Blake","BRO","HOK",216800,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
17,"Perham, Hayze","BRO","CTW/FLB",216800,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
124,"Su'a, Sebastian","DOL",NA,216800,NA,0,NA,NA,0,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
56,"Sua, Jonathan","BUL","CTW",216800,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
532,"Luke, Soni","NQC","HOK",216200,NA,7.4,NA,NA,37,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
533,"Turpin, Jake","BUL","HOK",212000,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
204,"Wakeham, Brandon","MNL","5/8/HFB",209400,NA,12.2,NA,NA,61,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
